Company Name,Ticker,Zacks Rank,Last Close,Market Cap (mil),This Yr`s Est.d Growth (F(1)/F(0)),% Change Q1 Est. (4 weeks),Zacks Industry Rank,Avg Volume
"ABSCI CORP","ABSI","2","2.86","430.06","14.89","2.67","89","4654765"
"Ares Commercial Real Estate","ACRE","2","4.86","267.43","48.17","100","91","436938"
"Altimmune","ALT","2","4.19","437.2","25.97","21.6","78","2879639"
"Aveanna Healthcare","AVAH","2","8.57","1790.37","795.83","48.49","81","1748863"
"Ballard Power Systems","BLDP","2","2.91","874.69","40.7","8.06","46","6622628"
"DigitalBridge Group","DBRG","2","9.37","1711.66","25.86","3.03","91","3716862"
"Erasca","ERAS","2","2.87","814.25","36.23","6.98","89","1319802"
"Guardian Pharmacy Services, Inc.","GRDN","2","28.33","1793.87","1750","8","78","377275"
"Hanmi Financial","HAFC","2","25.97","777.94","23.09","5.47","16","188050"
"Healthcare Services Group","HCSG","2","17.02","1199.15","69.81","4.55","45","779761"
"Heritage Financial","HFWA","2","21.47","729.05","15.14","2.4","85","174059"
"Horace Mann Educators","HMN","2","45.66","1857.68","46.23","2.87","28","261477"
"ImmunityBio","IBRX","2","2.03","1999.48","45.21","23.81","89","8868447"
"Jamf","JAMF","2","12.87","1714.57","39.34","2.27","66","5013086"
"Jade Biosciences, Inc.","JBIO","2","12.59","410.77","96.39","34.23","89","232713"
"Lexeo Therapeutics, Inc.","LXEO","2","9.48","691.92","34.79","24.25","78","1396090"
"NB Bancorp, Inc.","NBBK","2","18.89","752.32","45.61","4.55","55","353281"
"NGL Energy Partners","NGL","2","9.55","1200.65","204","28.57","91","493882"
"Oric Pharmaceuticals","ORIC","2","12.06","1174.52","12.11","11.47","89","1154624"
"Palisade Bio","PALI","2","2.07","308.44","93.67","96.88","89","4366119"
"The Pennant Group","PNTG","2","25.4","878.68","22.34","6.67","81","363698"
"Rapport Therapeutics, Inc.","RAPP","2","25.11","1196.77","26.32","13.72","89","374549"
"The Real Brokerage","REAX","2","3.62","766.72","67.86","16.67","66","1641451"
"Redwood Trust","RWT","2","5.03","637.21","51.92","17.65","91","1190663"
"Rezolute","RZLT","2","10.22","947.67","16.33","27.27","89","1633461"
"Sana Biotechnology","SANA","2","3.64","969.57","26.75","26.96","89","4289978"
"Sight Sciences","SGHT","2","7.03","371.69","12.12","28.77","63","215274"
"Telos","TLS","2","5.72","421.88","116.94","68.75","67","1117469"
"Tango Therapeutics","TNGX","2","7.98","1074.06","23.67","10.44","89","4577135"
"Veris Residential","VRE","2","14.76","1378.97","12.22","3.23","91","610439"
"Weave Communications","WEAV","2","6.01","468.93","66.67","42.86","60","1410453"
"WisdomTree, Inc.","WT","2","11.05","1554.9","25","6.64","81","2994820"
"X4 Pharmaceuticals","XFOR","2","3.66","320.02","49.07","34.47","89","1745569"
